iter	Passed	Remaining
0	6	2453
1	11	2211
2	16	2130
3	21	2117
4	27	2142
5	32	2125
6	37	2111
7	43	2143
8	48	2127
9	54	2109
10	59	2120
11	65	2115
12	70	2096
13	76	2118
14	82	2118
15	87	2109
16	94	2125
17	100	2126
18	106	2130
19	111	2122
20	117	2114
21	122	2112
22	128	2108
23	134	2108
24	140	2112
25	146	2110
26	152	2107
27	158	2105
28	164	2101
29	169	2084
30	174	2080
31	179	2067
32	184	2055
33	190	2049
34	195	2040
35	200	2029
36	205	2019
37	211	2014
38	216	2004
39	222	2000
40	227	1994
41	233	1986
42	238	1981
43	244	1975
44	253	1998
45	258	1992
46	264	1983
47	269	1976
48	275	1972
49	280	1962
50	285	1954
51	291	1947
52	296	1938
53	301	1928
54	306	1920
55	311	1914
56	317	1913
57	324	1913
58	329	1906
59	336	1905
60	342	1900
61	347	1894
62	353	1892
63	359	1887
64	365	1882
65	372	1884
66	377	1875
67	384	1876
68	390	1871
69	395	1863
70	400	1855
71	406	1852
72	412	1846
73	418	1842
74	424	1838
75	430	1834
76	435	1828
77	441	1822
78	446	1814
79	453	1814
80	459	1808
81	465	1804
82	470	1796
83	475	1789
84	481	1784
85	487	1779
86	492	1772
87	497	1765
88	503	1759
89	508	1752
90	514	1747
91	520	1741
92	525	1733
93	531	1730
94	537	1724
95	542	1718
96	548	1713
97	554	1707
98	559	1700
99	565	1695
100	570	1689
101	576	1684
102	581	1677
103	587	1671
104	593	1668
105	599	1663
106	604	1656
107	610	1650
108	615	1643
109	621	1639
110	627	1634
111	633	1628
112	638	1622
113	644	1616
114	649	1609
115	654	1601
116	660	1598
117	666	1591
118	670	1583
119	676	1577
120	681	1571
121	686	1563
122	692	1558
123	697	1553
124	702	1546
125	708	1541
126	714	1535
127	722	1535
128	727	1528
129	732	1520
130	736	1513
131	742	1507
132	747	1499
133	752	1492
134	757	1486
135	761	1478
136	766	1472
137	771	1464
138	775	1457
139	780	1449
140	784	1440
141	789	1434
142	794	1427
143	799	1420
144	803	1413
145	808	1406
146	812	1399
147	817	1392
148	823	1387
149	827	1379
150	832	1373
151	838	1368
152	843	1361
153	848	1355
154	853	1349
155	858	1342
156	862	1335
157	867	1328
158	872	1322
159	877	1316
160	882	1309
161	887	1304
162	893	1299
163	898	1292
164	904	1287
165	909	1281
166	925	1291
167	935	1292
168	943	1289
169	954	1291
170	963	1290
171	974	1292
172	983	1290
173	989	1284
174	994	1278
175	1000	1273
176	1008	1270
177	1016	1267
178	1021	1260
179	1025	1253
180	1030	1246
181	1035	1240
182	1039	1232
183	1043	1225
184	1049	1219
185	1054	1213
186	1059	1206
187	1064	1200
188	1069	1194
189	1073	1187
190	1078	1180
191	1083	1174
192	1088	1167
193	1093	1160
194	1098	1154
195	1103	1148
196	1108	1142
197	1113	1136
198	1118	1130
199	1123	1123
200	1129	1117
201	1134	1112
202	1139	1106
203	1144	1099
204	1149	1093
205	1154	1087
206	1158	1080
207	1164	1074
208	1169	1068
209	1174	1062
210	1179	1056
211	1184	1050
212	1189	1043
213	1194	1037
214	1199	1032
215	1205	1027
216	1211	1021
217	1217	1016
218	1222	1010
219	1228	1005
220	1234	999
221	1240	994
222	1246	989
223	1252	983
224	1257	978
225	1262	972
226	1268	966
227	1274	961
228	1279	955
229	1285	949
230	1290	944
231	1297	939
232	1303	934
233	1309	929
234	1315	923
235	1321	918
236	1326	912
237	1332	907
238	1338	901
239	1344	896
240	1349	890
241	1354	884
242	1361	879
243	1366	873
244	1372	868
245	1377	862
246	1382	856
247	1388	850
248	1394	845
249	1399	839
250	1405	834
251	1412	829
252	1418	824
253	1425	819
